This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    37797
Number of nonzeros in inequality constraint Jacobian.:     5100
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      607
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      528
                     variables with only upper bounds:        0
Total number of equality constraints.................:      476
Total number of inequality constraints...............:      420
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      420

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  7.0178080e-03 9.94e-04 4.73e-02  -4.0 2.82e-02    -  1.00e+00 1.00e+00h  1
 111  6.7468708e-03 4.46e-04 1.69e-02  -4.0 1.16e-02    -  1.00e+00 1.00e+00h  1
 112  6.7925010e-03 1.05e-04 5.98e-02  -4.0 1.17e-02    -  1.00e+00 1.00e+00h  1
 113  6.8023370e-03 3.74e-05 2.48e-02  -4.0 6.01e-03    -  1.00e+00 1.00e+00h  1
 114  6.8125688e-03 3.41e-05 2.78e-02  -4.0 4.93e-03    -  1.00e+00 1.00e+00h  1
 115  6.7962855e-03 5.73e-05 7.00e-02  -4.0 7.81e-03    -  1.00e+00 1.00e+00h  1
 116  6.7613601e-03 6.94e-04 2.13e-01  -4.0 2.33e-02    -  1.00e+00 1.00e+00h  1
 117  6.5187962e-03 6.91e-04 3.97e-01  -4.1 3.19e-02    -  1.00e+00 1.00e+00h  1
 118  6.5437146e-03 4.96e-04 3.23e-01  -4.0 2.42e-02    -  1.00e+00 5.00e-01h  2
 119  6.6674203e-03 2.42e-04 1.08e-01  -4.0 1.25e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  6.7869974e-03 2.21e-04 1.49e-01  -4.0 2.35e-02    -  1.00e+00 1.00e+00H  1
 121  6.5813821e-03 4.30e-04 1.35e-01  -4.0 1.92e-02    -  1.00e+00 1.00e+00h  1
 122  6.7536715e-03 8.51e-04 2.54e-01  -4.0 1.75e-02    -  1.00e+00 1.00e+00H  1
 123  6.4663170e-03 5.89e-04 6.10e-02  -4.1 1.72e-02    -  1.00e+00 1.00e+00h  1
 124  6.5310837e-03 1.26e-04 1.70e-02  -4.0 1.30e-02    -  1.00e+00 1.00e+00h  1
 125  6.5234802e-03 1.16e-04 1.71e-01  -4.0 1.45e-02    -  1.00e+00 5.00e-01h  2
 126  6.5846623e-03 4.36e-05 5.23e-02  -4.0 1.08e-02    -  1.00e+00 1.00e+00H  1
 127  6.5345863e-03 9.25e-05 5.53e-02  -4.0 6.14e-03    -  1.00e+00 1.00e+00h  1
 128  6.5379053e-03 3.17e-05 1.79e-02  -4.0 3.30e-03    -  1.00e+00 1.00e+00h  1
 129  6.5466757e-03 3.76e-06 2.04e-02  -4.0 1.90e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  6.5271885e-03 8.53e-05 6.84e-02  -4.0 7.34e-03    -  1.00e+00 1.00e+00h  1
 131  6.4625778e-03 1.01e-03 4.38e-01  -4.0 4.80e-02    -  1.00e+00 1.00e+00h  1
 132  6.2650137e-03 1.99e-03 7.40e-01  -4.1 5.65e-02    -  1.00e+00 1.00e+00h  1
 133  6.3152877e-03 1.34e-03 7.10e-01  -4.0 7.09e-02    -  1.00e+00 5.00e-01h  2
 134  6.6322051e-03 1.37e-03 3.33e-01  -4.0 3.25e-02    -  1.00e+00 1.00e+00h  1
 135  6.2146505e-03 4.50e-04 1.08e-01  -4.1 1.41e-02    -  1.00e+00 1.00e+00h  1
 136  6.4262183e-03 5.55e-04 8.74e-02  -4.0 1.34e-02    -  1.00e+00 1.00e+00h  1
 137  6.2770231e-03 2.19e-04 1.47e-02  -4.0 8.48e-03    -  1.00e+00 1.00e+00h  1
 138  6.2948324e-03 2.69e-05 2.54e-02  -4.0 4.00e-03    -  1.00e+00 1.00e+00h  1
 139  6.3172151e-03 1.31e-05 2.55e-02  -4.0 3.96e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  6.3399178e-03 1.72e-04 9.71e-02  -4.0 1.10e-02    -  1.00e+00 1.00e+00h  1
 141  6.1653403e-03 7.40e-05 1.26e-01  -4.1 8.08e-03    -  1.00e+00 1.00e+00h  1
 142  6.2734008e-03 3.62e-04 6.83e-02  -4.0 6.50e-03    -  1.00e+00 1.00e+00h  1
 143  6.1706170e-03 3.02e-05 1.75e-02  -4.1 4.98e-03    -  1.00e+00 1.00e+00h  1
 144  6.2647283e-03 3.59e-05 3.14e-02  -4.0 5.24e-03    -  1.00e+00 1.00e+00h  1
 145  6.2829056e-03 1.00e-04 1.62e-01  -4.0 1.71e-02    -  1.00e+00 1.00e+00h  1
 146  6.0924905e-03 2.29e-03 9.61e-01  -4.1 8.66e-02    -  1.00e+00 1.00e+00h  1
 147  6.1553777e-03 1.39e-03 4.91e-01  -4.0 3.33e-02    -  1.00e+00 1.00e+00h  1
 148  6.1756046e-03 9.60e-04 5.13e-02  -4.0 2.58e-02    -  1.00e+00 1.00e+00h  1
 149  6.0740707e-03 8.27e-04 5.79e-02  -4.1 2.12e-02    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  6.1912223e-03 8.81e-05 7.02e-02  -4.0 1.22e-02    -  1.00e+00 1.00e+00h  1
 151  6.1012892e-03 1.27e-04 4.97e-02  -4.1 6.11e-03    -  1.00e+00 1.00e+00h  1
 152  6.1533200e-03 2.40e-05 3.28e-02  -4.0 4.90e-03    -  1.00e+00 1.00e+00h  1
 153  6.1513325e-03 3.93e-05 2.09e-02  -4.0 3.47e-03    -  1.00e+00 1.00e+00h  1
 154  6.1416630e-03 1.69e-05 4.37e-02  -4.0 5.22e-03    -  1.00e+00 1.00e+00h  1
 155  6.1304490e-03 2.36e-05 8.36e-02  -4.0 1.15e-02    -  1.00e+00 5.00e-01h  2
