This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    23692
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      387
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      338
                     variables with only upper bounds:        0
Total number of equality constraints.................:      306
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 114  1.3216392e-01 3.50e-02 1.97e+00  -3.3 1.34e-01    -  1.00e+00 1.00e+00h  1
 115  1.2972245e-01 1.28e-01 4.65e-01  -3.5 1.27e-01    -  1.00e+00 1.00e+00h  1
 116  1.3502126e-01 1.18e-01 4.54e+00  -3.2 9.20e-02    -  1.00e+00 1.00e+00H  1
 117  1.2516252e-01 4.33e-02 4.49e+00  -3.3 5.08e-02    -  1.00e+00 1.00e+00h  1
 118  1.2214373e-01 5.23e-02 3.37e-01  -3.5 4.11e-02    -  1.00e+00 1.00e+00h  1
 119  1.1950175e-01 1.35e-02 3.02e-01  -4.0 3.90e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.1817358e-01 1.43e-02 4.33e-01  -4.0 9.52e-02    -  1.00e+00 1.00e+00h  1
 121  1.1584353e-01 8.82e-02 3.34e-01  -4.0 2.13e-01    -  1.00e+00 1.00e+00h  1
 122  1.3341523e-01 6.61e-02 1.00e+02  -3.4 4.44e-01    -  1.00e+00 5.36e-01H  1
 123  1.1815817e-01 6.03e-02 2.67e+01  -3.5 1.27e-01    -  6.48e-01 7.73e-01h  1
 124  1.1541330e-01 5.51e-02 1.77e+01  -3.2 1.09e-01    -  1.00e+00 1.00e+00f  1
 125  1.1202763e-01 3.62e-02 2.22e+00  -3.4 9.36e-02    -  1.00e+00 1.00e+00h  1
 126  1.0906458e-01 2.63e-02 3.13e+00  -3.5 9.19e-02    -  1.00e+00 1.00e+00h  1
 127  1.0640444e-01 2.86e-02 2.96e+00  -3.9 5.82e-02    -  1.00e+00 1.00e+00h  1
 128  1.0493408e-01 2.08e-02 4.51e+00  -4.0 1.93e-01    -  1.00e+00 5.00e-01h  2
 129  1.0128075e-01 4.88e-02 3.92e+00  -4.0 3.59e-01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.0011443e-01 5.53e-02 1.06e+00  -3.2 7.38e-01    -  1.00e+00 1.62e-01h  3
