This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1016894
Number of nonzeros in inequality constraint Jacobian.:       12
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3259
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      808
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3078
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.0247006e-02 3.45e-02 5.43e-02  -3.8 7.97e-01    -  1.00e+00 1.00e+00h  1
  71  1.7388717e-02 3.67e-02 2.23e-02  -3.8 5.66e-01    -  1.00e+00 1.00e+00h  1
  72  1.7460677e-02 1.36e-02 1.75e-02  -4.0 2.92e-01    -  1.00e+00 1.00e+00h  1
  73  1.7117046e-02 6.32e-03 2.00e-02  -4.0 1.93e-01    -  1.00e+00 1.00e+00h  1
  74  1.7108537e-02 2.97e-03 1.11e-01  -4.0 1.69e-01    -  1.00e+00 5.00e-01h  2
  75  1.7085858e-02 1.93e-03 1.23e-01  -4.0 2.48e-01    -  1.00e+00 5.00e-01h  2
  76  1.6996568e-02 1.45e-03 3.38e-02  -4.0 2.43e-01    -  1.00e+00 5.00e-01h  2
  77  1.6858784e-02 4.40e-03 2.50e-02  -4.0 3.03e-01    -  1.00e+00 1.00e+00h  1
  78  1.6775692e-02 9.30e-03 5.85e-02  -4.0 7.44e-01    -  1.00e+00 5.00e-01h  2
  79  1.7410692e-02 1.84e-02 7.38e-02  -4.0 6.96e-01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.6633874e-02 1.87e-02 1.92e-01  -4.1 7.64e-01    -  7.00e-01 5.00e-01h  2
  81  1.6003797e-02 3.98e-02 2.43e-02  -4.0 5.28e-01    -  1.00e+00 1.00e+00h  1
  82  1.5850577e-02 1.61e-02 3.03e-02  -4.0 4.17e-01    -  1.00e+00 1.00e+00h  1
  83  1.5510260e-02 1.15e-02 8.19e-02  -4.0 8.08e-01    -  1.00e+00 5.00e-01h  2
  84  1.5364709e-02 1.37e-02 1.42e-01  -4.0 1.31e+00    -  1.00e+00 2.50e-01h  3
  85  1.5123732e-02 1.99e-02 4.72e-02  -4.0 1.02e+00    -  1.00e+00 5.00e-01h  2
  86  1.5076484e-02 2.71e-02 2.86e-02  -4.0 1.99e+00    -  1.00e+00 2.50e-01h  3
  87  1.9740652e-02 7.90e-02 8.06e-02  -4.0 7.42e-01    -  1.00e+00 1.00e+00H  1
  88  1.4581077e-02 5.63e-02 4.12e-02  -4.1 6.71e-01    -  1.00e+00 1.00e+00h  1
  89  1.4439561e-02 2.72e-02 4.13e-02  -4.0 6.11e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.4268243e-02 2.20e-02 1.06e-01  -4.0 1.40e+00    -  1.00e+00 2.50e-01h  3
  91  1.4054063e-02 2.02e-02 1.28e-01  -4.0 1.24e+00    -  1.00e+00 2.50e-01h  3
  92  1.3937065e-02 2.55e-02 6.82e-02  -4.0 1.71e+00    -  1.00e+00 2.50e-01h  3
  93  1.4079822e-02 2.58e-02 7.20e-02  -4.0 1.30e+00    -  1.00e+00 2.50e-01h  3
  94  1.4456076e-02 3.58e-02 4.99e-02  -4.1 6.81e-01    -  1.00e+00 1.00e+00h  1
  95  1.3881796e-02 2.88e-02 4.57e-02  -4.0 5.04e-01    -  1.00e+00 1.00e+00h  1
  96  1.3369520e-02 1.28e-02 4.32e-02  -4.0 3.03e-01    -  1.00e+00 1.00e+00h  1
  97  1.3570908e-02 1.07e-02 8.50e-02  -4.0 2.13e-01    -  1.00e+00 1.00e+00h  1
  98  1.3426107e-02 7.73e-03 5.64e-02  -4.0 2.31e-01    -  1.00e+00 1.00e+00h  1
  99  1.3608168e-02 3.66e-03 8.25e-02  -4.0 1.13e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.3676449e-02 2.10e-03 4.04e-02  -4.0 8.38e-02    -  1.00e+00 1.00e+00h  1
 101  1.3639681e-02 3.86e-03 1.44e-01  -4.0 1.44e-01    -  1.00e+00 1.00e+00h  1
 102  1.3485673e-02 1.18e-03 4.11e-02  -4.0 9.25e-02    -  1.00e+00 1.00e+00h  1
 103  1.3708617e-02 4.31e-04 9.38e-02  -4.0 9.81e-02    -  1.00e+00 1.00e+00H  1
 104  1.3417652e-02 2.30e-03 5.64e-02  -4.0 1.69e-01    -  1.00e+00 1.00e+00h  1
 105  1.3402383e-02 7.43e-03 3.05e-01  -4.0 5.33e-01    -  1.00e+00 5.00e-01h  2
 106  1.3143218e-02 2.20e-03 3.12e-02  -4.0 1.38e-01    -  1.00e+00 1.00e+00h  1
 107  1.3091615e-02 7.25e-04 5.69e-03  -4.0 8.92e-02    -  1.00e+00 1.00e+00h  1
 108  1.3055192e-02 1.29e-03 5.42e-03  -4.0 1.13e-01    -  1.00e+00 1.00e+00h  1
 109  1.3021879e-02 1.06e-02 1.46e-01  -4.0 1.29e+00    -  1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.3117184e-02 2.35e-02 7.06e-02  -4.0 1.66e+00    -  1.00e+00 2.50e-01h  3
 111  1.2909856e-02 2.24e-02 7.24e-01  -4.1 1.28e+00    -  1.00e+00 2.50e-01h  3
 112  1.2798793e-02 2.65e-02 2.01e-01  -4.0 1.82e+00    -  1.00e+00 2.50e-01h  3
 113  1.2731882e-02 2.23e-02 1.43e-01  -4.0 1.23e+00    -  1.00e+00 2.50e-01h  3
 114  1.2542803e-02 2.09e-02 1.08e-01  -4.0 1.15e+00    -  1.00e+00 2.50e-01h  3
 115  1.3592477e-02 3.13e-02 1.37e-02  -4.0 6.15e-01    -  1.00e+00 1.00e+00h  1
 116  1.3186495e-02 3.06e-02 1.81e-02  -4.1 4.60e-01    -  1.00e+00 1.00e+00h  1
 117  1.4349758e-02 4.54e-02 1.63e-02  -4.1 6.38e-01    -  1.00e+00 1.00e+00h  1
 118  1.1935840e-02 2.24e-02 1.22e-02  -4.1 4.78e-01    -  1.00e+00 1.00e+00h  1
 119  1.2088844e-02 4.68e-03 2.78e-02  -4.0 1.87e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.2076516e-02 3.12e-03 1.24e-01  -4.0 2.18e-01    -  1.00e+00 5.00e-01h  2
 121  1.2033496e-02 2.64e-03 4.32e-02  -4.0 2.53e-01    -  1.00e+00 5.00e-01h  2
 122  1.2027128e-02 2.65e-03 7.09e-02  -4.0 2.47e-01    -  1.00e+00 5.00e-01h  2
 123  1.2022905e-02 2.11e-03 2.86e-02  -4.0 9.20e-02    -  1.00e+00 1.00e+00h  1
 124  1.2013425e-02 1.33e-03 1.57e-02  -4.0 1.06e-01    -  1.00e+00 1.00e+00h  1
 125  1.1971636e-02 1.04e-03 1.69e-02  -4.0 1.15e-01    -  1.00e+00 1.00e+00h  1
 126  1.1944905e-02 1.64e-03 3.04e-02  -4.0 9.55e-02    -  1.00e+00 1.00e+00h  1
 127  1.1952520e-02 7.60e-04 1.43e-02  -4.0 8.58e-02    -  1.00e+00 1.00e+00h  1
 128  1.1922224e-02 7.32e-04 5.38e-02  -4.0 2.07e-01    -  1.00e+00 5.00e-01h  2
