This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    51902
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      827
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      718
                     variables with only upper bounds:        0
Total number of equality constraints.................:      646
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.2322490e-02 3.15e-03 2.17e-01  -4.0 2.69e-01    -  9.97e-01 2.50e-01h  3
 101  1.2028831e-02 4.42e-03 3.01e-01  -4.0 2.23e-01    -  1.00e+00 2.50e-01h  3
 102  1.4767672e-02 4.08e-03 4.83e-01  -4.0 1.44e-01    -  1.00e+00 1.00e+00H  1
 103  1.5293591e-02 6.46e-03 4.46e-01  -4.1 8.69e-02    -  1.00e+00 1.00e+00H  1
 104  1.1835625e-02 2.85e-03 5.21e-02  -4.1 5.11e-02    -  1.00e+00 1.00e+00h  1
 105  1.2183957e-02 2.98e-03 3.52e-02  -4.0 4.26e-02    -  1.00e+00 1.00e+00h  1
 106  1.1461053e-02 1.67e-03 2.39e-02  -4.0 3.15e-02    -  1.00e+00 1.00e+00h  1
 107  1.1387135e-02 2.95e-04 1.59e-02  -4.0 1.60e-02    -  1.00e+00 1.00e+00h  1
 108  1.1409294e-02 9.91e-05 1.02e-02  -4.0 8.74e-03    -  1.00e+00 1.00e+00h  1
 109  1.1377681e-02 3.65e-05 1.15e-02  -4.0 5.09e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.1352700e-02 4.40e-05 1.64e-02  -4.0 5.71e-03    -  1.00e+00 1.00e+00h  1
 111  1.1268695e-02 2.78e-04 3.19e-02  -4.0 1.88e-02    -  1.00e+00 1.00e+00h  1
 112  1.1201443e-02 6.93e-04 7.17e-02  -4.0 6.01e-02    -  1.00e+00 5.00e-01h  2
 113  1.1164272e-02 1.11e-03 1.18e-01  -4.0 9.02e-02    -  1.00e+00 5.00e-01h  2
 114  1.1047244e-02 1.17e-03 1.54e-01  -4.0 1.41e-01    -  1.00e+00 2.50e-01h  3
 115  1.0956632e-02 2.54e-03 1.72e-01  -4.0 1.48e-01    -  1.00e+00 5.00e-01h  2
 116  1.0968517e-02 2.38e-03 1.81e-01  -4.0 1.15e-01    -  1.00e+00 5.00e-01h  2
 117  1.2284421e-02 5.46e-04 1.25e-01  -4.0 5.49e-02    -  1.00e+00 1.00e+00H  1
 118  1.0702964e-02 1.45e-03 3.75e-02  -4.1 3.63e-02    -  1.00e+00 1.00e+00h  1
 119  1.0660235e-02 5.15e-04 1.58e-02  -4.0 2.28e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.0577036e-02 1.23e-04 1.58e-02  -4.0 1.16e-02    -  1.00e+00 1.00e+00h  1
 121  1.0575684e-02 8.91e-06 9.59e-03  -4.0 3.93e-03    -  1.00e+00 1.00e+00h  1
 122  1.0545061e-02 1.60e-04 2.96e-02  -4.0 1.79e-02    -  1.00e+00 1.00e+00h  1
 123  1.0507429e-02 7.26e-04 4.36e-01  -4.0 1.35e-01    -  1.00e+00 2.50e-01h  3
 124  1.0406503e-02 9.11e-04 1.18e-01  -4.0 6.14e-02    -  1.00e+00 5.00e-01h  2
 125  1.0845551e-02 1.25e-03 1.33e-01  -4.0 4.18e-02    -  1.00e+00 1.00e+00H  1
 126  1.0448583e-02 4.70e-04 7.16e-02  -4.1 2.51e-02    -  1.00e+00 1.00e+00h  1
 127  1.0280677e-02 2.70e-04 1.65e-02  -4.0 1.48e-02    -  1.00e+00 1.00e+00h  1
 128  1.0251328e-02 8.91e-05 1.07e-02  -4.0 9.21e-03    -  1.00e+00 1.00e+00h  1
 129  1.0250031e-02 4.15e-05 1.29e-02  -4.0 6.43e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.0212767e-02 4.66e-05 2.05e-02  -4.0 1.04e-02    -  1.00e+00 1.00e+00h  1
 131  1.0186897e-02 2.96e-04 7.24e-02  -4.0 4.21e-02    -  1.00e+00 5.00e-01h  2
 132  1.0102019e-02 9.28e-04 1.61e-01  -4.0 7.62e-02    -  1.00e+00 5.00e-01h  2
 133  1.0052637e-02 1.39e-03 2.46e-01  -4.0 1.58e-01    -  1.00e+00 2.50e-01h  3
 134  1.0015258e-02 1.19e-03 2.63e-01  -4.0 9.37e-02    -  1.00e+00 2.50e-01h  3
 135  1.0535812e-02 2.06e-03 1.56e-01  -4.0 4.24e-02    -  1.00e+00 1.00e+00h  1
 136  9.9284012e-03 6.43e-04 5.67e-02  -4.1 2.91e-02    -  1.00e+00 1.00e+00h  1
 137  9.8584546e-03 3.74e-04 1.65e-02  -4.0 1.29e-02    -  1.00e+00 1.00e+00h  1
 138  9.8331970e-03 4.06e-05 1.99e-02  -4.0 5.42e-03    -  1.00e+00 1.00e+00h  1
 139  9.8124484e-03 3.38e-05 2.00e-02  -4.0 6.60e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  9.8182130e-03 9.57e-04 7.48e-02  -4.0 3.45e-02    -  1.00e+00 1.00e+00h  1
 141  9.7317282e-03 2.29e-03 1.82e-01  -4.1 8.41e-02    -  1.00e+00 5.00e-01h  2
 142  1.1059439e-02 1.03e-03 3.02e-01  -4.0 5.74e-02    -  1.00e+00 1.00e+00H  1
 143  1.0055114e-02 1.19e-03 1.58e-01  -4.1 4.07e-02    -  1.00e+00 1.00e+00h  1
 144  9.6492083e-03 6.76e-04 4.93e-02  -4.1 2.94e-02    -  1.00e+00 1.00e+00h  1
 145  9.6160707e-03 1.64e-04 2.11e-02  -4.0 1.35e-02    -  1.00e+00 1.00e+00h  1
 146  9.5957534e-03 6.28e-05 1.25e-02  -4.0 5.93e-03    -  1.00e+00 1.00e+00h  1
 147  9.5772828e-03 1.44e-05 9.77e-03  -4.0 3.19e-03    -  1.00e+00 1.00e+00h  1
 148  9.5704077e-03 4.76e-06 8.76e-03  -4.0 1.72e-03    -  1.00e+00 1.00e+00h  1
 149  9.5398090e-03 1.74e-04 4.67e-02  -4.0 1.31e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  9.5141701e-03 3.26e-04 9.05e-02  -4.0 3.22e-02    -  1.00e+00 5.00e-01h  2
 151  9.4729327e-03 2.07e-04 1.04e-01  -4.0 2.61e-02    -  1.00e+00 5.00e-01h  2
 152  9.5297643e-03 1.47e-04 6.24e-02  -4.0 1.14e-02    -  1.00e+00 1.00e+00h  1
 153  9.4170185e-03 9.74e-05 1.72e-02  -4.0 1.01e-02    -  1.00e+00 1.00e+00h  1
 154  9.4190869e-03 9.47e-05 1.35e-02  -4.0 7.86e-03    -  1.00e+00 1.00e+00h  1
 155  9.2812832e-03 1.76e-04 6.77e-02  -4.1 2.14e-02    -  1.00e+00 1.00e+00h  1
 156  9.2607008e-03 1.63e-03 2.58e-01  -4.0 1.17e-01    -  1.00e+00 5.00e-01h  2
 157  9.2543319e-03 1.42e-03 3.15e-01  -4.0 9.72e-02    -  1.00e+00 2.50e-01h  3
 158  9.5976535e-03 8.05e-04 1.94e-01  -4.0 3.69e-02    -  1.00e+00 1.00e+00h  1
 159  9.1586431e-03 8.53e-04 8.03e-02  -4.1 2.66e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  9.0348106e-03 3.17e-04 5.05e-02  -4.0 1.81e-02    -  1.00e+00 1.00e+00h  1
 161  8.9954891e-03 5.86e-04 5.51e-02  -4.0 3.06e-02    -  1.00e+00 1.00e+00h  1
 162  9.1213432e-03 3.23e-04 1.60e-01  -4.0 5.70e-02    -  1.00e+00 1.00e+00H  1
 163  8.9705320e-03 8.28e-04 1.99e-01  -4.0 6.59e-02    -  1.00e+00 5.00e-01h  2
 164  9.9486392e-03 1.97e-03 1.61e-01  -4.0 3.53e-02    -  1.00e+00 1.00e+00H  1
 165  8.6704418e-03 1.07e-03 5.77e-02  -4.1 2.57e-02    -  1.00e+00 1.00e+00h  1
 166  8.6812281e-03 2.44e-04 1.29e-02  -4.0 1.87e-02    -  1.00e+00 1.00e+00h  1
 167  8.6213657e-03 3.48e-04 5.70e-02  -4.0 3.72e-02    -  1.00e+00 5.00e-01h  2
 168  8.6444038e-03 4.17e-04 8.54e-02  -4.0 5.18e-02    -  1.00e+00 1.00e+00H  1
 169  8.5467720e-03 6.46e-03 2.83e-01  -4.0 8.28e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  8.2920655e-03 1.64e-03 9.50e-02  -4.0 3.46e-02    -  1.00e+00 1.00e+00h  1
 171  8.4183180e-03 5.04e-04 1.76e-02  -4.0 1.88e-02    -  1.00e+00 1.00e+00h  1
 172  8.2809353e-03 1.27e-04 1.15e-02  -4.0 1.42e-02    -  1.00e+00 1.00e+00h  1
 173  8.2903244e-03 4.98e-05 1.59e-02  -4.0 6.46e-03    -  1.00e+00 1.00e+00h  1
 174  8.2731522e-03 5.65e-05 2.08e-02  -4.0 8.89e-03    -  1.00e+00 1.00e+00h  1
 175  8.1970325e-03 7.32e-04 1.05e-01  -4.0 6.37e-02    -  1.00e+00 5.00e-01h  2
 176  8.1671357e-03 3.14e-03 2.22e-01  -4.0 1.27e-01    -  1.00e+00 5.00e-01h  2
 177  8.5072933e-03 5.01e-04 3.65e-01  -4.0 8.65e-02    -  1.00e+00 1.00e+00H  1
 178  8.2698837e-03 8.15e-04 3.53e-01  -4.1 8.24e-02    -  1.00e+00 5.00e-01h  2
 179  7.9656807e-03 4.47e-04 8.85e-02  -4.1 2.86e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  7.7695045e-03 1.28e-04 1.82e-02  -4.0 1.50e-02    -  1.00e+00 1.00e+00h  1
 181  7.7569904e-03 2.25e-05 1.22e-02  -4.0 5.85e-03    -  1.00e+00 1.00e+00h  1
 182  7.7184504e-03 1.62e-04 3.94e-02  -4.0 1.76e-02    -  1.00e+00 1.00e+00h  1
 183  7.5278170e-03 1.24e-03 1.83e-01  -4.0 1.93e-01    -  1.00e+00 2.50e-01h  3
 184  7.4941737e-03 1.30e-03 2.57e-01  -4.0 1.26e-01    -  1.00e+00 2.50e-01h  3
 185  7.6421754e-03 4.10e-04 2.06e-01  -4.0 3.23e-02    -  1.00e+00 1.00e+00h  1
 186  7.4555989e-03 2.69e-04 1.54e-01  -4.0 3.40e-02    -  1.00e+00 5.00e-01h  2
 187  7.3784921e-03 8.77e-05 4.68e-02  -4.0 1.22e-02    -  1.00e+00 1.00e+00h  1
 188  7.3392653e-03 4.83e-05 2.87e-02  -4.0 1.05e-02    -  1.00e+00 1.00e+00h  1
 189  7.2884043e-03 1.55e-04 6.52e-02  -4.0 3.74e-02    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  7.2126890e-03 1.68e-03 1.35e-01  -4.0 1.24e-01    -  1.00e+00 5.00e-01h  2
 191  7.1737333e-03 1.68e-03 1.63e-01  -4.0 9.98e-02    -  1.00e+00 2.50e-01h  3
 192  7.4940351e-03 8.37e-04 1.16e-01  -4.0 3.39e-02    -  1.00e+00 1.00e+00h  1
 193  7.0359292e-03 3.51e-04 5.24e-02  -4.1 3.12e-02    -  1.00e+00 1.00e+00h  1
 194  6.9359944e-03 1.26e-04 1.22e-02  -4.0 1.06e-02    -  1.00e+00 1.00e+00h  1
 195  6.9490615e-03 2.34e-05 1.90e-02  -4.0 6.06e-03    -  1.00e+00 1.00e+00h  1
