This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   133925
Number of nonzeros in inequality constraint Jacobian.:      492
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      499
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      104
                     variables with only upper bounds:        0
Total number of equality constraints.................:      486
Total number of inequality constraints...............:       73
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       73

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  79  7.7027485e-01 4.30e+00 4.16e+07   2.9 7.90e+01    -  8.56e-03 8.44e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  7.3865563e-01 4.21e+00 6.75e+07   2.9 1.06e+02    -  2.80e-02 2.12e-02h  1
  81  7.3732793e-01 4.20e+00 6.82e+07   2.3 5.04e+01    -  4.54e-02 5.95e-04h  1
  82  6.3677215e-01 3.96e+00 1.07e+08   2.9 3.80e+01    -  2.23e-02 5.84e-02f  1
  83  6.1852305e-01 3.88e+00 1.07e+08   2.9 2.50e+01    -  1.78e-02 1.98e-02h  1
  84  6.0218713e-01 3.78e+00 1.10e+08   2.9 3.15e+01    -  1.96e-02 2.58e-02f  1
  85  6.0203366e-01 3.78e+00 1.10e+08   1.0 2.18e+01    -  1.15e-01 1.05e-03h  1
  86  8.2623638e-01 3.61e+00 8.91e+07   2.9 1.31e+02    -  2.08e-03 4.41e-02f  1
  87  8.7215936e-01 3.14e+00 9.63e+07   2.9 1.09e+01    -  7.43e-01 1.30e-01f  1
  88  9.2695722e-01 1.82e+00 1.10e+08   2.9 9.42e+00    -  1.89e-01 4.22e-01h  1
  89  9.2310217e-01 1.80e+00 1.09e+08   2.9 1.20e+01    -  5.41e-01 6.65e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  6.1468980e-01 2.69e+00 1.34e+08   2.9 2.25e+02    -  5.06e-02 2.75e-02h  1
  91  5.1300914e-01 2.83e+00 1.44e+08   2.9 7.95e+01    -  1.76e-02 3.08e-02h  3
  92  4.4768400e-01 2.86e+00 1.57e+08   2.9 1.26e+02    -  6.91e-02 1.17e-02f  3
  93  3.9219942e-01 2.94e+00 1.69e+08   2.9 6.38e+01    -  1.30e-01 3.08e-02h  2
  94  3.8184513e-01 2.81e+00 2.22e+08   2.9 4.21e+01    -  4.03e-01 5.32e-02h  1
  95  3.9973507e-01 2.75e+00 2.39e+08   2.9 3.13e+01    -  3.04e-01 3.11e-02h  1
  96  4.7454786e-01 2.14e+00 2.88e+08   2.9 1.26e+01    -  4.05e-01 1.74e-01h  1
  97  4.6528486e-01 1.79e+00 3.09e+08   2.9 4.15e+00    -  1.15e-01 1.63e-01h  1
  98  3.8557321e-01 9.39e-01 4.68e+08   2.9 3.62e+00    -  3.31e-01 8.19e-01h  1
  99  4.2378452e-01 9.33e-01 3.83e+08   2.9 5.36e+00    -  2.78e-01 5.01e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  4.2591621e-01 9.33e-01 3.85e+08   2.9 2.70e+02    -  3.82e-02 4.60e-04h  1
 101  5.1149779e-01 9.29e-01 2.14e+08   2.9 9.78e+00    -  8.19e-01 3.94e-01H  1
 102  5.1595533e-01 9.29e-01 2.12e+08   2.9 2.53e+01    -  3.77e-01 5.08e-03h  1
 103  5.8400171e-01 9.25e-01 2.03e+08   2.9 2.52e+01    -  3.30e-02 6.73e-02f  2
 104  6.1825161e-01 9.23e-01 2.23e+08   2.8 2.07e+01    -  8.04e-01 3.26e-02h  3
 105  6.5205426e-01 9.14e-01 1.42e+08   2.1 1.48e+02    -  3.27e-03 1.16e-02f  2
 106  6.8082702e-01 9.11e-01 1.59e+08   2.1 1.52e+01    -  6.41e-02 4.33e-02f  2
 107  7.1570722e-01 9.08e-01 1.83e+08   2.1 1.58e+01    -  1.23e-02 4.29e-02h  2
 108  7.3798656e-01 9.07e-01 1.97e+08   2.1 1.63e+01    -  8.68e-02 2.45e-02h  3
 109  7.4253491e-01 9.06e-01 1.94e+08   2.1 2.46e+02    -  4.85e-02 2.45e-04h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  7.4799722e-01 9.06e-01 1.91e+08   2.1 2.07e+02    -  7.26e-02 3.63e-04h  6
 111  7.5170955e-01 9.06e-01 1.89e+08   2.1 2.00e+02    -  1.95e-02 2.54e-04h  7
 112  9.3610377e-01 9.03e-01 1.90e+08   2.1 2.06e+02    -  2.73e-04 1.04e-02f  2
 113  1.0610346e+00 8.96e-01 3.12e+08   2.1 2.29e+02    -  2.52e-03 7.38e-03f  2
 114  1.1185870e+00 8.91e-01 3.48e+08   2.1 2.31e+02    -  2.74e-02 5.70e-03f  3
 115  1.2059690e+00 8.92e-01 3.46e+08   2.1 2.13e+02    -  1.82e-02 1.15e-02f  3
 116  1.2273754e+00 8.93e-01 2.74e+08   2.1 1.81e+02    -  1.06e-02 8.28e-03f  3
 117  1.3669604e+00 8.93e-01 2.67e+08   2.1 2.05e+02    -  2.02e-04 6.58e-03f  2
 118  1.3810501e+00 8.93e-01 2.64e+08   2.1 2.30e+02    -  1.71e-02 8.48e-04h  4
 119  1.3920923e+00 8.93e-01 2.58e+08   2.1 1.97e+02    -  2.50e-02 1.24e-03h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.3983630e+00 8.93e-01 2.50e+08   2.1 1.78e+02    -  3.34e-02 1.42e-03h  4
 121  1.4051856e+00 8.93e-01 2.17e+08   2.1 2.28e+02    -  6.61e-04 6.48e-03f  2
 122  1.4033314e+00 8.93e-01 2.19e+08   2.1 2.62e+02    -  3.73e-02 2.18e-03h  3
 123  1.4038275e+00 8.92e-01 2.08e+08   2.1 2.29e+02    -  4.98e-02 4.39e-03h  3
 124  1.4429329e+00 8.92e-01 1.62e+08   2.1 1.97e+02    -  7.64e-04 1.85e-02f  2
 125  1.4226362e+00 8.93e-01 1.34e+08   2.1 9.85e+01    -  8.46e-03 5.23e-03f  3
 126  1.4159268e+00 8.93e-01 1.13e+08   2.1 7.79e+01    -  3.30e-02 7.23e-03h  3
 127  1.3920052e+00 8.94e-01 9.18e+07   2.1 5.53e+01    -  2.50e-02 1.72e-02h  2
 128  1.3513394e+00 8.97e-01 8.60e+07   2.1 2.00e+02    -  2.35e-02 1.16e-02f  2
 129  1.3067862e+00 8.98e-01 9.15e+07   2.1 1.51e+02    -  2.69e-02 6.06e-03h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.2826557e+00 8.99e-01 1.03e+08   2.1 1.35e+02    -  3.70e-02 3.59e-03h  2
 131  1.2748447e+00 8.99e-01 1.07e+08   2.1 1.10e+02    -  4.63e-02 1.44e-03h  3
 132  1.2598685e+00 8.99e-01 1.09e+08   2.1 4.68e+02    -  1.13e-02 5.01e-04h  3
 133  1.2583864e+00 8.99e-01 1.09e+08   2.1 1.36e+02    -  6.13e-02 2.09e-04h  6
 134  1.2158421e+00 8.99e-01 1.10e+08   2.1 1.32e+02    -  4.10e-02 6.72e-03h  1
 135  1.2112528e+00 8.99e-01 1.10e+08   2.1 9.60e+01    -  1.78e-01 9.06e-04h  1
 136  1.1966195e+00 8.99e-01 1.04e+08   2.1 2.08e+02    -  3.27e-03 1.45e-03f  6
 137  1.1849836e+00 8.99e-01 9.89e+07   2.1 1.33e+02    -  3.15e-02 2.15e-03f  6
 138  1.1628929e+00 8.99e-01 8.83e+07   2.1 1.13e+02    -  1.66e-02 4.99e-03f  5
 139  1.1417562e+00 8.99e-01 8.48e+07   2.1 8.66e+01    -  1.43e-01 6.32e-03f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.0944988e+00 9.00e-01 1.29e+08   2.1 1.24e+02    -  4.00e-02 5.22e-03f  5
 141  1.0347857e+00 9.01e-01 1.76e+08   2.1 9.53e+01    -  7.30e-02 1.00e-02f  4
 142  9.9557566e-01 9.03e-01 1.94e+08   2.1 7.67e+01    -  8.10e-02 1.24e-02f  4
 143  9.5545770e-01 9.04e-01 2.20e+08   2.1 9.01e+01    -  3.41e-02 1.70e-02f  4
 144  9.2465183e-01 9.05e-01 2.38e+08   2.1 1.25e+02    -  9.12e-02 1.15e-02f  4
 145  9.0845469e-01 9.04e-01 2.78e+08   2.1 1.47e+02    -  2.65e-02 8.55e-03f  4
 146  9.0037425e-01 9.03e-01 2.92e+08   2.1 1.58e+02    -  4.06e-02 7.43e-03f  4
 147  8.8644989e-01 9.02e-01 2.76e+08   2.1 1.87e+02    -  6.62e-02 7.40e-03f  4
 148  8.6277835e-01 9.02e-01 2.83e+08   2.1 2.51e+02    -  8.73e-02 3.78e-03f  5
 149  8.2281717e-01 9.01e-01 3.42e+08   2.1 2.73e+02    -  9.95e-02 6.73e-03f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  7.9638835e-01 9.10e-01 3.90e+08   2.1 2.55e+02    -  8.56e-02 6.26e-03f  4
 151  7.9314646e-01 9.71e-01 4.70e+08   2.1 1.99e+02    -  4.54e-02 1.22e-02f  3
 152  7.9658618e-01 9.79e-01 5.05e+08   2.1 1.21e+02    -  4.95e-02 8.31e-03f  4
 153  7.9368542e-01 9.98e-01 5.48e+08   2.1 1.88e+02    -  2.91e-02 7.33e-03f  4
 154  7.8943786e-01 1.01e+00 5.78e+08   2.1 3.71e+02    -  2.08e-02 4.37e-03f  4
