k,t_start,t_end,dt,ux1,uy1,ux2,uy2
17,25.310091436486566,26.891972151266977,1.5818807147804108,3.600539760717601e-5,0.00020836711058513788,-0.00027549417543794254,-2.0762870344462318e-5
18,26.891972151266977,28.473852866047388,1.5818807147804108,5.549576025290871e-6,0.00015850275467797512,-0.00021533695549861924,-1.0994430417118867e-5
19,28.473852866047388,30.0557335808278,1.5818807147804108,-2.465875893407033e-5,0.0001039801828630785,-0.00014823715678897109,-5.351359070415578e-7
20,30.0557335808278,31.63761429560821,1.5818807147804108,-5.1065691148910774e-5,4.890236701810031e-5,-7.89623038697515e-5,9.5792257924469e-6
21,31.63761429560821,33.21949501038862,1.5818807147804108,-7.093461602786106e-5,-2.608027985754103e-6,-1.3073658847559581e-5,1.7976469207348527e-5
22,33.21949501038862,34.80137572516903,1.5818807147804108,-8.281701352814973e-5,-4.681861720661365e-5,4.389061634368019e-5,2.3356270209373822e-5
23,34.80137572516903,36.38325643994944,1.5818807147804108,-8.551495360395643e-5,-8.097495022323839e-5,8.776111981372454e-5,2.4998136468661773e-5
24,36.38325643994944,37.96513715472985,1.5818807147804108,-7.746864881811024e-5,-0.00010269074392348103,0.00011610296534840909,2.2557027398720992e-5
25,37.96513715472985,39.54701786951026,1.5818807147804108,-5.817784529836985e-5,-0.00010962747546827138,0.0001283432179826229,1.6026857105034277e-5
26,39.54701786951026,41.128898584290674,1.5818807147804108,-2.9419195278932745e-5,-0.00010089760468937121,0.0001247298460609952,6.17337326809056e-6
27,41.128898584290674,42.710779299071085,1.5818807147804108,4.949091789593435e-6,-7.767983741427428e-5,0.00010561750004631435,-5.3970453543244155e-6
28,42.710779299071085,44.292660013851496,1.5818807147804108,4.0217273041776415e-5,-4.342219308611894e-5,7.23961526723776e-5,-1.7338825383450113e-5
29,44.292660013851496,45.87454072863191,1.5818807147804108,7.24079929755243e-5,-3.1933737937202075e-6,2.856590303615864e-5,-2.9237223255686194e-5
30,45.87454072863191,47.45642144341232,1.5818807147804108,9.898684833153098e-5,3.943756183901377e-5,-2.0242237669148502e-5,-3.983403363127283e-5
31,47.45642144341232,49.03830215819273,1.5818807147804108,0.00011824329670957495,8.149675075421241e-5,-6.821649299619878e-5,-4.674049822638254e-5
32,49.03830215819273,50.62018287297314,1.5818807147804108,0.00012750894772028563,0.00011932112440818131,-0.00011104444529624195,-4.793390237324169e-5
33,50.62018287297314,52.20206358775355,1.5818807147804108,0.00012369619227724742,0.0001504429418163761,-0.0001444523998805845,-4.307079800925787e-5
34,52.20206358775355,53.78394430253396,1.5818807147804108,0.00010324972752619668,0.00017095210478819829,-0.00016556506562962687,-3.3561060897490094e-5
35,53.78394430253396,55.36582501731437,1.5818807147804108,6.729240284936084e-5,0.00017506109442329523,-0.000171594053295065,-1.9970202970460738e-5
36,55.36582501731437,56.94770573209478,1.5818807147804108,2.502960757873869e-5,0.0001583082750900285,-0.00015875095541440483,-2.388693771161587e-6
37,56.94770573209478,58.52958644687519,1.5818807147804108,-1.4715451340864653e-5,0.00011969276916217359,-0.00012755162183547759,1.988948349984216e-5
38,58.52958644687519,60.111467161655604,1.5818807147804108,-4.895344023939242e-5,6.610629211484121e-5,-8.306815114344303e-5,4.5891920117005474e-5
39,60.111467161655604,61.693347876436015,1.5818807147804108,-7.092048750316775e-5,1.3908218149583744e-6,-2.422938370237045e-5,6.916269186981955e-5
40,61.693347876436015,63.275228591216425,1.5818807147804108,-8.133345584031885e-5,-6.855747718679758e-5,4.4854460081458135e-5,8.4551391647003e-5
41,63.275228591216425,64.85710930599683,1.5818807147804037,-7.855836040681515e-5,-0.0001339635887777435,0.00012080212425357378,9.429612847409893e-5
42,64.85710930599683,66.43899002077724,1.5818807147804108,-6.314462278015079e-5,-0.0002027060488775592,0.0001980390696910278,8.732928804201941e-5
43,66.43899002077724,68.02087073555765,1.5818807147804108,-5.102625676239796e-5,-0.00026212183527379965,0.00028336623343627493,5.668615483501791e-5
44,68.02087073555765,69.60275145033806,1.5818807147804108,-5.1345146778529005e-5,-0.0002957681918473201,0.000376393995864311,4.3997212262227725e-5
45,69.60275145033806,71.18463216511847,1.5818807147804108,-4.7724778078523086e-5,-0.0003166164040434571,0.0004525956525836172,6.301418053336289e-6
46,71.18463216511847,72.76651287989888,1.5818807147804108,-3.6987673982683916e-5,-0.00033000748443310767,0.0005359633450604012,-2.1496044791686506e-5
47,72.76651287989888,74.3483935946793,1.5818807147804108,-3.500531012111673e-5,-0.00031182223859566163,0.0006407132398343586,-4.732611620039596e-5
48,74.3483935946793,75.9302743094597,1.5818807147804108,-1.7526046336063124e-5,-0.0003205250623840466,0.0005998710777461171,-4.603089241643978e-6
49,75.9302743094597,77.51215502424012,1.5818807147804108,0.0002735896198338813,-0.00018997654312812002,0.0001323927869605704,9.547446343724092e-5
50,77.51215502424012,79.09403573902053,1.5818807147804108,0.0,0.0,0.0,0.0
