epsilon,def_piccolo,tog_piccolo,var_piccolo,def_qt_unfilt,tog_qt_unfilt,var_qt_unfilt,def_qt_filt,tog_qt_filt,var_qt_filt
-0.018,0.37756419812349407,0.20957389071455604,0.6822340660909622,0.6144174000053124,0.458047482666326,0.8261930868092398,0.6249861191136012,0.4611556516178734,0.8185466643281143
-0.0174,0.39702306963132894,0.26690932023294167,0.720607030374309,0.6301156302970456,0.5163501373351502,0.8490027208405885,0.6417972248489332,0.5207522195086085,0.8422058178483625
-0.0168,0.4141671944094001,0.3270596296612376,0.7561503215709311,0.6435922891467902,0.5721517850372473,0.869504065806332,0.6561866227280116,0.5765535059060275,0.8634495981290953
-0.0162,0.42927494527696863,0.3886592206810004,0.7887843216651848,0.6552104549781954,0.6233710157866339,0.8881668061966977,0.6683933258948249,0.6286528594068915,0.8826555921914723
-0.0156,0.4427006470147656,0.4504343700207199,0.8184872497216056,0.6654476045301867,0.6711628708647428,0.9046547405651025,0.6788770500984264,0.6766859032317547,0.8997622589563685
-0.015,0.45485319019092857,0.5112338276927281,0.8452882289302178,0.6745782192956116,0.7150299313947792,0.9195054488606813,0.6880791741388903,0.7207372843240535,0.9150607546706917
-0.0144,0.46617577527255183,0.5700516868962132,0.8692600651175368,0.6830998221461839,0.7549887997849457,0.9324802072348147,0.6961887529181071,0.7607590908935736,0.9284381991266009
-0.0138,0.4771275118579809,0.6260425024641328,0.8905119746472623,0.6910620010117683,0.7910508003586596,0.943623131355741,0.7037947914022246,0.7969954434574639,0.9401713079718005
-0.0132,0.48816727092183754,0.6785289709983467,0.9091824654321718,0.6988151099162514,0.8237496467481867,0.9536599492298548,0.7112586535194503,0.8293499148580247,0.9504122290944553
-0.0126,0.4997398687874162,0.7270027684159478,0.9254325388954313,0.7069972853617321,0.8527018592935507,0.9620113787295139,0.7187829559950153,0.8580634291397284,0.9592675943942589
-0.012,0.5122643781758964,0.771119361332561,0.9394393447938415,0.7158468808429994,0.8781895289157442,0.9692831445521486,0.7267482510910752,0.8831651458698799,0.9669160766225029
-0.0114,0.5261241383505249,0.8106877635431746,0.9513903862292045,0.7254579341605845,0.9004308353063407,0.9753582731486338,0.735529147122818,0.9051583782239123,0.9733791298502347
-0.0108,0.5416578916900424,0.8456562978420187,0.9614783400288287,0.7361535681745779,0.9197080690924536,0.9805856247125939,0.7451737682622708,0.9239838305352697,0.9788161511389016
-0.0102,0.559151419624259,0.8760954501650652,0.9698965287890086,0.7481196635589937,0.9358416742696116,0.9848501545789311,0.7559414611320703,0.9399769088628447,0.983407455079952
-0.0096,0.5788290905464217,0.9021788741741442,0.9768350557853424,0.7610002669117063,0.9497529594825032,0.9883591270932568,0.7680448740271226,0.9533259741219706,0.9871164507460987
-0.009,0.6008448617594314,0.9241635288764041,0.9824775929452655,0.775092705616603,0.961434064437496,0.9912616429807535,0.7813491910471551,0.9643791115737339,0.9901870811794244
-0.0084,0.6252724845733332,0.9423698201653095,0.9869987952086473,0.7907482319008746,0.9707749958678769,0.9934971881522463,0.7959782842307807,0.9733571834397428,0.9926060819413013
-0.0078,0.6520949272635437,0.957162480495336,0.9905623017400292,0.8075308368399865,0.9783383492209424,0.9953096386201936,0.8118584412549172,0.9805419815634218,0.9945781705699936
-0.0072,0.681193330082351,0.9689327704520654,0.9933192753193221,0.8253134230112831,0.9843356436730757,0.9966517158417851,0.8288656049239203,0.9860914217078689,0.9960824548622014
-0.0066,0.7123361115110647,0.9780824322309634,0.9954074254354757,0.8438990580174309,0.9889541417805582,0.9977183026978439,0.846727543590268,0.990419041811744,0.997272805647733
-0.006,0.7451691254441262,0.9850096771891625,0.9969504576785996,0.863154430171501,0.9924548570665488,0.9984847490334781,0.8652905001608462,0.9935726131284587,0.9981427977708006
-0.0054,0.7792079956593662,0.9900973551737744,0.9980578914750201,0.8826372432979313,0.9950238745335428,0.9990238523688931,0.8842526837287826,0.9958609752193095,0.9987875600908591
-0.0048,0.8138339003327455,0.9937033377647118,0.9988251895382271,0.902062195379449,0.9968458188571105,0.9994182236034436,0.9031854647146376,0.9974391459265023,0.9992303924108092
-0.0042,0.84829412414228,0.9961530543164357,0.9993341451413176,0.9210152178412032,0.9980743124947096,0.9996681115810189,0.9217017006599226,0.998486319354843,0.9995435730685189
-0.0036,0.881708624197781,0.9977340501089409,0.9996534770198297,0.9389377877020082,0.9988596555578917,0.9998272002455433,0.9393938217109596,0.9991309255829913,0.9997375265400863
-0.003,0.9130836624241033,0.9986923895231146,0.9998395860112284,0.9555280761264153,0.9993396237922942,0.9999227416636858,0.9557596532227166,0.9995039600699305,0.9998701630722617
-0.0024,0.9413332440287098,0.9992307018606313,0.9999374321146478,0.9702229257673017,0.9996142556138531,0.9999679138351873,0.9702855382021713,0.9997017173229417,0.9999397732668356
-0.0018,0.9653086815661401,0.9995076599512627,0.9999814952659483,0.9825117279760291,0.9997583217174213,0.9999901306294663,0.9825152556257543,0.9997930628448815,0.9999765461276371
-0.0012,0.9838360980842022,0.9996386879617863,0.9999967875861702,0.9918972789050959,0.9998206368481217,0.9999986746403193,0.9918742139355097,0.9998365190583587,0.9999934514578916
-0.0006,0.9957611200121639,0.9996977104191217,0.9999998890542627,0.9978954796119102,0.9998527415046552,0.9999999659978476,0.9978647219590501,0.999855670794271,0.9999988321452582
0.0,0.999999426210609,0.9997197750221831,0.9999999824072142,0.9999991809121149,0.9998643432191665,0.9999999019298069,0.9999997284365905,0.9998575890391808,0.9999999680040692
0.0006,0.9955912534727311,0.9997044033984017,0.9999998665550258,0.9977742399712246,0.9998523592360455,0.9999999183649435,0.9977953116245859,0.999845936593899,0.9999993385290958
0.0012,0.9817574519234231,0.9996195433267324,0.999996930920076,0.9908418199431679,0.9998110714341295,0.9999987338533438,0.990816790812393,0.9997781452915484,0.9999976382635949
0.0018,0.9579542763179653,0.9994060107735346,0.9999840758991746,0.9787421126814577,0.9997001811167439,0.999992770217565,0.9786255447074028,0.9996318067241579,0.9999927023443146
0.0024,0.9239238274858896,0.9989823190559087,0.9999505671445446,0.9612208558873093,0.9994940677790022,0.9999743394721654,0.9609461816098308,0.9993621023668815,0.999981452709434
0.003,0.8797369519328078,0.9982497952603007,0.9998828136168781,0.9379142933886173,0.9991248764145562,0.9999449977058054,0.9374478053443778,0.9989091954392438,0.999957278593391
0.0036,0.8258254879612904,0.9970978813356558,0.9997650614278382,0.9086888510446438,0.9985537792682222,0.9998844927623736,0.9079469401337092,0.9981989766940144,0.9999166059342477
0.0042,0.7630010240201746,0.9954095104499463,0.9995799974054,0.873470875163399,0.9977047876999492,0.9997855066494361,0.8722343815929898,0.9972110268654117,0.9998524615290496
0.0048,0.6924578078632879,0.9930664401988183,0.9993092581191272,0.8321126096786852,0.996529112653379,0.9996557530557211,0.8303738919807857,0.9958305558021292,0.999753055459464
0.0054,0.6157580995648789,0.9899544153285352,0.9989338418201438,0.7846351898068784,0.9949785709627105,0.9994681363685007,0.7822557549765319,0.9940452777407964,0.9996074356056694
0.006,0.5347990713272683,0.9859680260582655,0.9984344223987104,0.7312678161866272,0.9929590587425248,0.9992236370402121,0.7281175114060872,0.9917886390019404,0.999430436252909
0.0066,0.4517612848961322,0.9810151259093015,0.9977915660480174,0.6721029329335726,0.9904398484343886,0.9988923266818581,0.667999299117955,0.9890323036034743,0.999192521680297
0.0072,0.3690397763142995,0.9750206767806302,0.9969858528463721,0.607441360474794,0.9874267063564004,0.9984853760215173,0.602398453313892,0.9856896668737252,0.9988843060730201
0.0078,0.28915979361075383,0.9679298998541175,0.995997906925183,0.5376577413636148,0.9838620101792244,0.9979835230832641,0.5315871841197853,0.9817870015459935,0.9985057400870081
0.0084,0.21468020756244244,0.9597106290614227,0.9948083402692625,0.4632931832274672,0.9796246622087241,0.9974166965200737,0.45607607873906814,0.977300217666128,0.9980523746537899
0.009,0.14808848973814873,0.9503547888535463,0.9933976164890735,0.3848360589401989,0.9748610320168125,0.996701785596669,0.3763393620933967,0.9722560875177668,0.997505046204683
0.0096,0.09169186913426934,0.9398789487414243,0.9917458421042777,0.30287259300784863,0.9694751701757138,0.9958635359294459,0.2931491796753408,0.9666127409795535,0.9968697693163193
0.0102,0.04750978848390718,0.9283239417905463,0.9898324939789094,0.21794916318173285,0.9635164547974184,0.9948915039602445,0.20701906558107022,0.960436301416062,0.996093189776206
0.0108,0.01717304282251109,0.9157535707982422,0.9876360925503227,0.13112144006894935,0.956909853883404,0.9938241169572568,0.11888120711066527,0.9537479092010199,0.9952284014903077
0.0114,0.0018349674477433338,0.9022524618768507,0.985133831400076,0.04280919549026896,0.9498382191012638,0.9925278959641759,0.029475986559602624,0.9466134088117562,0.9942211498963338
0.012,0.0020997358342871027,0.8879231582247044,0.982301174533275,0.0458153145998316,0.9423850867743682,0.9911344653096719,0.060250152644060195,0.9390335176457749,0.9930983679424621
0.0126,0.017972232128106155,0.8728825748238236,0.9791114334761075,0.13389329753068283,0.9342532613713468,0.9895338594925673,0.14949495770434154,0.9311183461969614,0.9917903997639861
