This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     9816
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1388
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1188
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 139  1.8583947e-03 3.94e-04 1.83e-02  -4.0 1.98e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.8393558e-03 1.81e-04 1.60e-03  -4.0 1.18e-02    -  1.00e+00 1.00e+00h  1
 141  1.8424812e-03 1.80e-05 3.43e-03  -4.0 4.23e-03    -  1.00e+00 1.00e+00h  1
 142  1.8388815e-03 2.91e-05 1.15e-02  -4.0 4.97e-03    -  1.00e+00 1.00e+00h  1
 143  1.8371081e-03 1.23e-05 1.58e-03  -4.0 3.21e-03    -  1.00e+00 1.00e+00h  1
 144  1.8364597e-03 2.61e-07 1.36e-03  -4.0 7.27e-04    -  1.00e+00 1.00e+00h  1
 145  1.8352364e-03 4.18e-07 3.12e-03  -4.0 6.41e-04    -  1.00e+00 1.00e+00h  1
 146  1.8296030e-03 3.36e-06 1.05e-02  -4.0 2.73e-03    -  1.00e+00 1.00e+00h  1
 147  1.8246041e-03 4.62e-06 2.36e-02  -4.0 4.65e-03    -  1.00e+00 1.00e+00h  1
 148  1.8739007e-03 9.35e-07 7.44e-02  -4.0 1.16e-02    -  1.00e+00 1.00e+00H  1
 149  1.8203815e-03 6.44e-05 7.25e-02  -4.1 1.06e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.7736631e-03 2.04e-05 1.38e-02  -4.0 5.98e-03    -  1.00e+00 1.00e+00h  1
 151  1.7777153e-03 2.99e-05 8.23e-03  -4.0 6.22e-03    -  1.00e+00 1.00e+00h  1
 152  1.9079378e-03 8.37e-05 6.20e-01  -4.1 1.83e-02    -  1.00e+00 4.90e-01H  1
 153  1.7656253e-03 1.68e-05 2.63e-02  -4.1 5.14e-03    -  1.00e+00 1.00e+00f  1
 154  1.7596462e-03 3.33e-05 8.58e-03  -4.0 6.42e-03    -  1.00e+00 1.00e+00h  1
 155  1.7537138e-03 4.95e-06 5.20e-03  -4.0 3.24e-03    -  1.00e+00 1.00e+00h  1
 156  1.7522412e-03 1.04e-05 2.67e-02  -4.0 7.30e-03    -  1.00e+00 5.00e-01h  2
 157  1.7475066e-03 4.11e-06 8.83e-03  -4.0 3.23e-03    -  1.00e+00 1.00e+00h  1
 158  1.7462242e-03 3.15e-06 7.74e-03  -4.0 1.73e-03    -  1.00e+00 1.00e+00h  1
 159  1.7410248e-03 9.75e-07 1.08e-02  -4.0 1.52e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.7374645e-03 2.29e-06 9.69e-03  -4.0 2.79e-03    -  1.00e+00 1.00e+00h  1
 161  1.7227775e-03 3.21e-05 5.59e-02  -4.0 2.05e-02    -  1.00e+00 5.00e-01h  2
 162  1.7251415e-03 2.70e-04 4.19e-01  -4.0 1.35e-01    -  1.00e+00 2.50e-01h  3
 163  1.7130884e-03 3.70e-04 6.55e-01  -4.1 4.59e-01    -  1.00e+00 6.25e-02h  5
 164  1.7173159e-03 3.62e-04 3.83e-01  -4.0 6.10e-01    -  1.00e+00 3.12e-02h  6
 165  1.8244364e-03 4.50e-04 2.45e-01  -4.1 2.37e-02    -  1.00e+00 1.00e+00h  1
 166  1.7091545e-03 6.01e-04 3.26e-01  -4.1 6.71e-02    -  1.00e+00 5.00e-01h  2
 167  1.6613091e-03 8.06e-04 3.68e-01  -3.6 3.40e-01    -  1.00e+00 6.25e-02h  5
 168  1.6386300e-03 6.98e-04 2.79e-01  -4.0 5.38e-02    -  1.00e+00 8.80e-02H  1
 169  1.5957259e-03 1.42e-04 7.20e-03  -4.0 1.54e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.7462457e-03 8.87e-05 1.45e-01  -4.0 4.20e-02    -  1.00e+00 2.50e-01h  3
 171  1.5795450e-03 5.09e-05 8.47e-03  -4.1 9.57e-03    -  1.00e+00 1.00e+00h  1
 172  1.6150798e-03 4.68e-05 2.25e-02  -4.0 9.18e-03    -  1.00e+00 1.00e+00h  1
 173  1.5712106e-03 2.25e-05 1.69e-03  -4.0 6.55e-03    -  1.00e+00 1.00e+00h  1
 174  1.5720926e-03 1.12e-06 3.88e-03  -4.0 1.36e-03    -  1.00e+00 1.00e+00h  1
 175  1.5675700e-03 8.25e-07 3.73e-03  -4.0 1.03e-03    -  1.00e+00 1.00e+00h  1
 176  1.5659792e-03 4.42e-07 3.64e-03  -4.0 1.02e-03    -  1.00e+00 1.00e+00h  1
 177  1.5593038e-03 2.30e-06 9.44e-03  -4.0 2.00e-03    -  1.00e+00 1.00e+00h  1
 178  1.5519668e-03 1.58e-04 7.96e-02  -4.0 6.85e-02    -  1.00e+00 2.50e-01h  3
 179  1.5616524e-03 1.22e-04 7.73e-02  -4.0 1.25e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.7186165e-03 9.60e-05 3.42e+00  -4.1 2.57e-02    -  1.00e+00 1.82e-01H  1
 181  1.5230675e-03 4.45e-05 4.13e-01  -4.1 1.29e-02    -  9.23e-01 1.00e+00f  1
 182  1.6324079e-03 1.48e-04 6.13e+00  -4.0 2.66e-01    -  1.00e+00 6.25e-02h  5
 183  1.5689597e-03 3.66e-04 2.11e-03  -4.1 2.37e-02    -  1.00e+00 1.00e+00h  1
 184  1.5469681e-03 3.45e-04 2.94e-01  -4.1 7.47e-02    -  1.00e+00 1.25e-01h  4
 185  1.5835013e-03 3.07e-04 8.35e-03  -4.1 2.23e-02    -  1.00e+00 1.00e+00h  1
 186  1.5653436e-03 2.48e-04 1.30e-02  -4.1 3.39e-02    -  1.00e+00 2.50e-01h  3
 187  1.5329403e-03 3.07e-04 1.62e-02  -4.1 2.10e-02    -  1.00e+00 1.00e+00h  1
 188  1.5126607e-03 1.35e-04 3.29e-03  -4.1 1.16e-02    -  1.00e+00 1.00e+00h  1
 189  1.5256834e-03 4.68e-06 2.09e-02  -4.0 1.31e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.5513958e-03 3.47e-04 4.25e-02  -4.0 4.08e-02    -  1.00e+00 5.00e-01h  2
 191  1.5053676e-03 9.69e-05 9.43e-03  -4.1 1.19e-02    -  1.00e+00 1.00e+00h  1
 192  1.6354251e-03 1.18e-04 7.15e-03  -4.0 1.26e-02    -  1.00e+00 1.00e+00h  1
 193  1.5075033e-03 2.08e-05 4.19e-03  -4.1 5.51e-03    -  1.00e+00 1.00e+00h  1
 194  1.5049261e-03 1.06e-05 1.34e-02  -4.0 3.81e-03    -  1.00e+00 1.00e+00h  1
 195  1.5039653e-03 8.31e-06 3.33e-03  -4.0 3.45e-03    -  1.00e+00 1.00e+00h  1
 196  1.5039224e-03 8.33e-09 2.67e-03  -4.0 8.58e-04    -  1.00e+00 1.00e+00H  1
 197  1.5032327e-03 1.24e-06 5.62e-03  -4.0 1.32e-03    -  1.00e+00 1.00e+00h  1
 198  1.5029688e-03 5.49e-07 1.31e-03  -4.0 8.59e-04    -  1.00e+00 1.00e+00h  1
 199  1.5027784e-03 1.08e-08 6.49e-04  -4.0 1.31e-04    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.5041363e-03 7.12e-10 1.63e-02  -4.0 4.18e-03    -  1.00e+00 1.00e+00H  1
 201  1.4977634e-03 3.25e-06 6.76e-02  -4.0 1.19e-02    -  1.00e+00 2.50e-01h  3
 202  1.4928245e-03 9.06e-06 1.00e-01  -4.0 3.51e-02    -  1.00e+00 1.25e-01h  4
 203  1.5070938e-03 1.11e-05 1.65e-01  -4.0 7.74e-03    -  1.00e+00 5.00e-01h  2
 204  1.4944840e-03 4.88e-06 1.28e-02  -4.1 2.89e-03    -  1.00e+00 1.00e+00h  1
 205  1.4945904e-03 1.01e-05 4.54e-02  -4.0 6.75e-03    -  1.00e+00 5.00e-01h  2
 206  1.4837424e-03 3.02e-07 1.02e-02  -4.0 4.97e-03    -  1.00e+00 1.00e+00H  1
 207  1.4870575e-03 1.32e-05 1.44e-01  -4.0 1.67e-02    -  1.00e+00 2.50e-01h  3
 208  1.4816261e-03 5.88e-06 1.44e-02  -4.1 2.80e-03    -  1.00e+00 1.00e+00h  1
 209  1.4890312e-03 3.76e-06 2.86e-02  -4.0 4.66e-03    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  1.4747087e-03 3.30e-06 6.97e-03  -4.1 2.38e-03    -  1.00e+00 1.00e+00h  1
