This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1215565
Number of nonzeros in inequality constraint Jacobian.:     5312
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3879
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      824
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3726
Total number of inequality constraints...............:      553
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      553

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  2.6529157e+01 4.37e-03 1.34e+03  -1.5 1.05e-01    -  1.00e+00 1.00e+00h  1
 101  2.6523276e+01 8.25e-04 3.61e+02  -1.5 7.10e-02    -  1.00e+00 1.00e+00h  1
 102  2.6495560e+01 4.12e-04 1.89e+02  -2.1 7.50e-02    -  1.00e+00 1.00e+00h  1
 103  2.6394387e+01 4.00e-03 1.19e+03  -2.7 3.66e-01    -  1.00e+00 7.64e-01h  1
 104  2.6321674e+01 3.27e-03 1.99e+03  -2.9 5.72e-01    -  1.00e+00 3.42e-01h  1
 105  2.5368220e+01 6.89e-02 1.07e+04  -1.8 2.00e+01    -  5.71e-01 1.15e-01f  1
 106  2.5250704e+01 6.45e-02 1.15e+04  -2.0 3.65e+00    -  5.31e-01 8.02e-02h  1
 107  2.5301559e+01 8.26e-02 1.01e+04  -1.0 3.43e+00    -  1.34e-01 1.67e-01f  1
 108  2.5496537e+01 4.00e-02 5.16e+03  -1.7 2.09e+00    -  4.37e-01 4.72e-01h  1
 109  2.5558833e+01 3.48e-02 3.33e+03  -1.0 9.35e-01    -  1.00e+00 4.29e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  2.6023599e+01 5.21e-02 2.39e+03  -0.7 1.82e+00    -  1.00e+00 9.87e-01f  1
 111  2.5601528e+01 2.77e-02 7.10e+02  -0.8 1.10e+00    -  1.00e+00 1.00e+00f  1
 112  2.5358890e+01 9.30e-03 7.30e+02  -1.0 9.65e-01    -  1.00e+00 1.00e+00h  1
 113  2.5007104e+01 1.00e-02 7.58e+02  -1.7 8.94e-01    -  1.00e+00 1.00e+00h  1
 114  2.4855681e+01 3.78e-02 3.58e+02  -1.2 8.69e-01    -  1.00e+00 9.47e-01h  1
 115  2.4487608e+01 5.52e-03 1.69e+02  -1.8 8.60e-01    -  1.00e+00 1.00e+00h  1
 116  2.3166827e+01 8.09e-02 2.40e+02  -1.5 3.55e+00    -  1.00e+00 9.83e-01f  1
 117  2.2478703e+01 2.20e-01 4.92e+02  -0.9 1.33e+01    -  1.00e+00 3.59e-01f  1
 118  2.1047313e+01 1.87e-01 6.11e+02  -1.2 4.94e+00    -  1.00e+00 1.00e+00h  1
 119  1.9192128e+01 5.61e-01 1.61e+02  -1.5 6.96e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.8248208e+01 4.72e-01 2.16e+02  -1.5 7.07e+00    -  1.00e+00 1.00e+00h  1
 121  1.7576297e+01 2.84e-01 1.12e+02  -1.9 4.25e+00    -  1.00e+00 9.59e-01h  1
 122  1.7506387e+01 2.11e-01 3.91e+01  -1.6 4.43e+00    -  1.00e+00 1.00e+00h  1
 123  1.7187042e+01 9.98e-02 3.57e+01  -1.9 3.32e+00    -  1.00e+00 1.00e+00h  1
 124  1.7914208e+01 8.34e-02 1.51e+02  -1.2 4.91e+00    -  1.00e+00 4.30e-01f  2
 125  1.8302320e+01 7.22e-02 7.23e+01  -1.3 2.48e+00    -  1.00e+00 1.00e+00h  1
 126  1.8188603e+01 4.45e-02 3.88e+01  -1.3 2.25e+00    -  1.00e+00 1.00e+00h  1
 127  1.7860819e+01 3.84e-02 1.27e+02  -1.7 2.35e+00    -  1.00e+00 5.45e-01h  1
 128  1.7230095e+01 7.29e-02 1.32e+02  -2.1 6.08e+00    -  1.00e+00 5.60e-01h  1
 129  1.6327323e+01 2.58e-01 2.51e+02  -2.2 8.39e+00    -  6.32e-01 7.89e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.5854687e+01 1.96e-01 2.39e+02  -1.6 6.60e+00    -  1.00e+00 3.11e-01h  1
 131  1.8940162e+01 1.41e+00 9.95e+01  -1.0 1.34e+01    -  1.00e+00 8.92e-01f  1
