time_ns,g_eff,u_X1,u_Y1,u_X2,u_Y2
11.15,0.01256637061,0.01250763911,0.004033218411,-0.01082822998,-0.00342546419
11.2,0.01256637061,0.01345476282,0.004356508756,-0.01165122556,-0.003713068276
11.25,0.01256637061,0.01442124763,0.004689084445,-0.01249150031,-0.004010775339
11.3,0.01256637061,0.01540538372,0.00503058039,-0.01334760569,-0.004318411029
11.35,0.01256637061,0.0164054613,0.005380631502,-0.01421809317,-0.004635800994
11.4,0.01256637061,0.01741977057,0.005738872692,-0.01510151423,-0.004962770882
11.45,0.01256637061,0.01844660172,0.006104938871,-0.01599642033,-0.005299146343
11.5,0.01256637061,0.01948424495,0.006478464951,-0.01690136295,-0.005644753026
11.55,0.01256637061,0.02053099046,0.006859085841,-0.01781489355,-0.005999416578
11.6,0.01256637061,0.02158512844,0.007246436455,-0.01873556361,-0.006362962649
11.65,0.01256637061,0.0226449491,0.007640151702,-0.01966192459,-0.006735216887
11.7,0.01256637061,0.02370874264,0.008039866494,-0.02059252797,-0.007116004942
11.75,0.01256637061,0.02477479924,0.008445215742,-0.02152592521,-0.007505152461
11.8,0.01256637061,0.02584140911,0.008855834357,-0.02246066778,-0.007902485094
11.85,0.01256637061,0.02690686244,0.00927135725,-0.02339530717,-0.008307828489
11.9,0.01256637061,0.02796944944,0.009691419332,-0.02432839482,-0.008721008294
11.95,0.01256637061,0.0290274603,0.01011565552,-0.02525848222,-0.00914185016
12,0.01256637061,0.03007918522,0.01054370071,-0.02618412083,-0.009570179734
12.05,0.01256637061,0.0311229144,0.01097518983,-0.02710386213,-0.01000582267
12.1,0.01256637061,0.03215693803,0.01140975778,-0.02801625759,-0.0104486046
12.15,0.01256637061,0.03317954631,0.01184703948,-0.02891985867,-0.01089835119
12.2,0.01256637061,0.03418902945,0.01228666983,-0.02981321684,-0.01135488809
12.25,0.01256637061,0.03518367763,0.01272828375,-0.03069488358,-0.01181804094
12.3,0.01256637061,0.03616178106,0.01317151615,-0.03156341035,-0.01228763538
12.35,0.01256637061,0.03712162993,0.01361600193,-0.03241734863,-0.01276349708
12.4,0.01256637061,0.03806151444,0.01406137602,-0.03325524988,-0.01324545167
12.45,0.01256637061,0.03897972479,0.01450727332,-0.03407566558,-0.01373332482
12.5,0.01256637061,0.03987455118,0.01495332875,-0.03487714719,-0.01422694215
12.55,0.01256637061,0.04074428381,0.0153991772,-0.03565824619,-0.01472612934
12.6,0.01256637061,0.04158721287,0.01584445361,-0.03641751404,-0.01523071201
12.65,0.01256637061,0.04240162855,0.01628879286,-0.03715350221,-0.01574051583
12.7,0.01256637061,0.04318582107,0.01673182989,-0.03786476219,-0.01625536643
12.75,0.01256637061,0.04393808062,0.0171731996,-0.03854984542,-0.01677508948
12.8,0.01256637061,0.04465669738,0.01761253689,-0.03920730339,-0.01729951061
12.85,0.01256637061,0.04533996157,0.01804947669,-0.03983568757,-0.01782845548
12.9,0.01256637061,0.04598616338,0.01848365389,-0.04043354942,-0.01836174974
12.95,0.01256637061,0.04659359301,0.01891470342,-0.04099944042,-0.01889921903
13,0.01256637061,0.04716054066,0.01934226019,-0.04153191203,-0.019440689
13.05,0.01256637061,0.04768529651,0.0197659591,-0.04202951572,-0.0199859853
13.1,0.01256637061,0.04816615078,0.02018543507,-0.04249080297,-0.02053493359
13.15,0.01256637061,0.04860139366,0.020600323,-0.04291432525,-0.0210873595
13.2,0.01256637061,0.04898931534,0.02101025781,-0.04329863402,-0.02164308869
13.25,0.01256637061,0.04932820603,0.02141487442,-0.04364228076,-0.02220194681
13.3,0.01256637061,0.04961635592,0.02181380772,-0.04394381693,-0.0227637595
13.35,0.01256637061,0.04985205521,0.02220669264,-0.044201794,-0.02332835242
13.4,0.01256637061,0.0500335941,0.02259316408,-0.04441476345,-0.0238955512
13.45,0.01256637061,0.05015926279,0.02297285695,-0.04458127675,-0.02446518151
13.5,0.01256637061,0.05022735147,0.02334540617,-0.04469988536,-0.02503706899
13.55,0.01256637061,0.05023615034,0.02371044665,-0.04476914076,-0.02561103929
13.6,0.01256637061,0.0501839496,0.02406761329,-0.04478759441,-0.02618691805
13.65,0.01256637061,0.05006903945,0.02441654102,-0.04475379778,-0.02676453093
13.7,0.01256637061,0.04988971008,0.02475686473,-0.04466630236,-0.02734370358
13.75,0.01256637061,0.0496442517,0.02508821935,-0.04452365959,-0.02792426164
13.8,0.01256637061,0.04933095449,0.02541023977,-0.04432442096,-0.02850603076
13.85,0.01256637061,0.04894810867,0.02572256093,-0.04406713794,-0.02908883659
13.9,0.01256637061,0.04849400442,0.02602481771,-0.04375036199,-0.02967250478
13.95,0.01256637061,0.04796693194,0.02631664504,-0.04337264459,-0.03025686099
14,0.01256637061,0.04736518144,0.02659767783,-0.0429325372,-0.03084173084
14.05,0.01256637061,0.04668704311,0.02686755099,-0.0424285913,-0.03142694001
14.1,0.01256637061,0.04593080715,0.02712589942,-0.04185935835,-0.03201231412
14.15,0.01256637061,0.04509476375,0.02737235805,-0.04122338983,-0.03259767884
14.2,0.01256637061,0.04417720311,0.02760656178,-0.04051923721,-0.03318285982
14.25,0.01256637061,0.04317641544,0.02782814552,-0.03974545194,-0.03376768269
14.3,0.01256637061,0.04209069092,0.02803674418,-0.03890058552,-0.03435197311
14.35,0.01256637061,0.04091831976,0.02823199268,-0.0379831894,-0.03493555673
14.4,0.01256637061,0.03965759216,0.02841352592,-0.03699181505,-0.0355182592
14.45,0.01256637061,0.03830679831,0.02858097882,-0.03592501395,-0.03609990616
14.5,0.01256637061,0.03686422841,0.02873398629,-0.03478133757,-0.03668032327
14.55,0.01256637061,0.03532817265,0.02887218324,-0.03355933737,-0.03725933617
14.6,0.01256637061,0.03369692125,0.02899520458,-0.03225756482,-0.03783677051
14.65,0.01256637061,0.03196876438,0.02910268523,-0.0308745714,-0.03841245195
14.7,0.01256637061,0.03014199226,0.02919426008,-0.02940890858,-0.03898620612
14.75,0.01256637061,0.02821489508,0.02926956406,-0.02785912782,-0.03955785868
14.8,0.01256637061,0.02618576304,0.02932823207,-0.0262237806,-0.04012723527
14.85,0.01256637061,0.02405288633,0.02936989903,-0.02450141838,-0.04069416155
14.9,0.01256637061,0.02181455515,0.02939419985,-0.02269059264,-0.04125846317
14.95,0.01256637061,0.0194690597,0.02940076943,-0.02078985484,-0.04181996576
15,0.01256637061,0.01701469019,0.0293892427,-0.01879775646,-0.04237849499
15.05,0.01256637061,0.0144497368,0.02935925455,-0.01671284897,-0.0429338765
15.1,0.01256637061,0.01177248973,0.02931043991,-0.01453368383,-0.04348593594
15.15,0.01256637061,0.008981239184,0.02924243368,-0.01225881251,-0.04403449896
15.2,0.01256637061,0.006074275359,0.02915487077,-0.009886786494,-0.0445793912
15.25,0.01256637061,0.003049888452,0.0290473861,-0.007416157241,-0.04512043831
15.3,0.01256637061,-9.363133961e-05,0.02891961458,-0.004845476223,-0.04565746595
